subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
7345,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5736446.0979,-3212801.1724,-5733388.6168,-3210508.0616
7768,0.0000,0.0000,0.0000,0.0000,0.0001,0.9999,-5852630.3809,-3299939.3847,-5849572.8998,-3297646.2738
7825,0.0001,0.0001,0.0029,0.0014,0.9729,0.0226,-5797595.7206,-3304525.6064,-5794538.2394,-3302232.4955
6121,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7274359.1068,-3075214.5215,-7271301.6257,-3072921.4107
6066,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-7240726.8144,-3059162.7456,-7237669.3333,-3056869.6348
6287,0.7084,0.1966,0.0814,0.0078,0.0037,0.0020,-7271301.6257,-3109611.1843,-7268244.1446,-3107318.0734
6453,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-5715043.7300,-3137128.5144,-5711986.2489,-3134835.4036
7145,0.0004,0.0010,0.0064,0.0470,0.9423,0.0030,-5751733.5036,-3173818.2880,-5748676.0225,-3171525.1772
6224,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-7283531.5502,-3098145.6300,-7280474.0691,-3095852.5192
7563,0.0004,0.0008,0.0042,0.0023,0.3819,0.6104,-5809825.6451,-3263249.6111,-5806768.1640,-3260956.5002
7565,0.0001,0.0001,0.0029,0.0014,0.9729,0.0226,-5803710.6828,-3263249.6111,-5800653.2017,-3260956.5002
8012,0.0001,0.0001,0.0011,0.0004,0.8855,0.1129,-5840400.4564,-3332042.9365,-5837342.9753,-3329749.8257
8312,0.0000,0.0000,0.0000,0.0000,0.0001,0.9999,-6005504.4375,-3554474.6888,-6002446.9563,-3552181.5780
8162,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-6008561.9186,-3524664.2478,-6005504.4375,-3522371.1369
5884,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7225439.4087,-3022472.9720,-7222381.9276,-3020179.8612
6109,0.0000,0.0000,0.0000,0.0000,0.0008,0.9991,-7222381.9276,-3070628.2998,-7219324.4465,-3068335.1890
6181,0.0007,0.0059,0.9832,0.0089,0.0013,0.0000,-7256014.2200,-3088973.1866,-7252956.7389,-3086680.0758
7657,0.0001,0.0003,0.0025,0.0057,0.9591,0.0323,-5822055.5696,-3283887.6087,-5818998.0885,-3281594.4979
7830,0.0004,0.0008,0.0042,0.0023,0.3819,0.6104,-5843457.9375,-3306818.7172,-5840400.4564,-3304525.6064
8156,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5987159.5507,-3522371.1369,-5984102.0696,-3520078.0261
6015,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-7234611.8521,-3038524.7480,-7231554.3710,-3036231.6371
6365,0.0022,0.0126,0.3969,0.4354,0.1524,0.0004,-7274359.1068,-3127956.0710,-7271301.6257,-3125662.9602
7268,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5773135.8715,-3196749.3965,-5770078.3904,-3194456.2856
7296,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5745618.5413,-3203628.7290,-5742561.0602,-3201335.6182
7368,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5757848.4659,-3217387.3941,-5754790.9847,-3215094.2833
7820,0.0009,0.0023,0.0047,0.0033,0.0470,0.9418,-5812883.1262,-3304525.6064,-5809825.6451,-3302232.4955
8006,0.0000,0.0000,0.0000,0.0000,0.0001,0.9999,-5861802.8243,-3332042.9365,-5858745.3432,-3329749.8257
6173,0.0311,0.3239,0.5384,0.0812,0.0239,0.0014,-7249899.2578,-3086680.0758,-7246841.7766,-3084386.9649
6394,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5711986.2489,-3132542.2927,-5708928.7678,-3130249.1819
7638,0.0000,0.0000,0.0003,0.0005,0.9965,0.0027,-5825113.0507,-3279301.3870,-5822055.5696,-3277008.2762
7684,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5818998.0885,-3288473.8304,-5815940.6073,-3286180.7196
7697,0.0005,0.0031,0.0205,0.7442,0.2314,0.0002,-5834285.4941,-3290766.9413,-5831228.0130,-3288473.8304
7785,0.0005,0.0031,0.0205,0.7442,0.2314,0.0002,-5797595.7206,-3299939.3847,-5794538.2394,-3297646.2738
